Input,Target
titulo a agua no ambiente,tit=a agua no ambiente%
titulo a agua na atmosfera e o ambiente,tit=a agua na atmosfera e o ambiente%
titulo bandeira azul,tit=bandeira azul%
titulo os jovens e a sexualidade,tit=os jovens e a sexualidade%
titulo avaliacao nas escolas,tit=avaliacao nas escolas%
titulo avaliacao continua e exames,tit=avaliacao continua e exames%
titulo a educacao artistica na accao educativa,tit=a educacao artistica na accao educativa%
titulo plano estrategico dos residuos hospitalares,tit=plano estrategico dos residuos hospitalares%
titulo factos e numeros essenciais sobre a europa e os eu,tit=factos e numeros essenciais sobre a europa e os eu%
titulo um cantico de natal,tit=um cantico de natal%
titulo plano de accao para os residuos solidos urbanos,tit=plano de accao para os residuos solidos urbanos%
titulo educacao sexual em meio escolar,tit=educacao sexual em meio escolar%
titulo gauguin,tit=gauguin%
titulo matisse,tit=matisse%
titulo fatima,tit=fatima%
titulo pintura portuguesa do renascimento,tit=pintura portuguesa do renascimento%
titulo modigliani,tit=modigliani%
titulo estruturas dos sistemas educativos da comunidade e,tit=estruturas dos sistemas educativos da comunidade e%
titulo rapaz ou rapariga,tit=rapaz ou rapariga%
titulo enciclopedia da musica ligeira portuguesa,tit=enciclopedia da musica ligeira portuguesa%
titulo plano estrategico dos residuos industriais pesgri,tit=plano estrategico dos residuos industriais pesgri%
titulo programa de promocao de competencias sociais,tit=programa de promocao de competencias sociais%
titulo alminhas do concelho de sernancelhe,tit=alminhas do concelho de sernancelhe%
titulo monografia de mafra,tit=monografia de mafra%
titulo o concelho de alenquer 1,tit=o concelho de alenquer 1%
titulo ourem,tit=ourem%
titulo ofertas historicas relativas a povoacao de vila fr,tit=ofertas historicas relativas a povoacao de vila fr%
titulo acessibilidade,tit=acessibilidade%
titulo voce e a crianca,tit=voce e a crianca%
titulo educacao pela liberdade,tit=educacao pela liberdade%
titulo portugal,tit=portugal%
titulo um projecto educativo,tit=um projecto educativo%
titulo diario da historia de portugal,tit=diario da historia de portugal%
titulo os mais belos contos de andersen ii,tit=os mais belos contos de andersen ii%
titulo enciclopedia juvenil,tit=enciclopedia juvenil%
titulo a caravela e as condicoes de navegacao na epoca do,tit=a caravela e as condicoes de navegacao na epoca do%
titulo manual de historia ao vivo,tit=manual de historia ao vivo%
titulo o mundo moderno,tit=o mundo moderno%
titulo o mundo antigo,tit=o mundo antigo%
titulo o mundo medieval,tit=o mundo medieval%
titulo o mundo contemporaneo,tit=o mundo contemporaneo%
titulo o amanhecer da humanidade,tit=o amanhecer da humanidade%
titulo para la de africa,tit=para la de africa%
titulo o desafio da mudanca,tit=o desafio da mudanca%
titulo enciclopedia fundamental verbo,tit=enciclopedia fundamental verbo%
titulo guia do municipe,tit=guia do municipe%
titulo ecoguia do municipe,tit=ecoguia do municipe%
titulo coloquio,tit=coloquio%
titulo memorias da academia das ciencias de lisboa. classe de ciencias,tit=memorias da academia das ciencias de lisboa. classe de ciencias%
titulo a escola e os descobrimentos,tit=a escola e os descobrimentos%
titulo nos e o transito,tit=nos e o transito%
titulo o conceito de numero decimal em alunos do 4 e 6,tit=o conceito de numero decimal em alunos do 4 e 6%
titulo contributos para a historia do instituto antonio a,tit=contributos para a historia do instituto antonio a%
titulo viver com hemofilia,tit=viver com hemofilia%
titulo odisseia em titan,tit=odisseia em titan%
titulo aventuras na quinta,tit=aventuras na quinta%
titulo planeta das surpresas,tit=planeta das surpresas%
titulo diciopedia 2003,tit=diciopedia 2003%
titulo o professor teles copio explora a terra e o sistem,tit=o professor teles copio explora a terra e o sistem%
titulo aprender com o mini click 2,tit=aprender com o mini click 2%
titulo foguetao 2000,tit=foguetao 2000%
titulo cidade virtual,tit=cidade virtual%
titulo aventura na ilha das cores,tit=aventura na ilha das cores%
titulo matemania,tit=matemania%
titulo a fabrica da internet,tit=a fabrica da internet%
titulo triplex,tit=triplex%
titulo words alive,tit=words alive%
titulo foguetao 2001,tit=foguetao 2001%
titulo o professor teles copio explora o ambiente 1,tit=o professor teles copio explora o ambiente 1%
titulo tobias e a formiga romi,tit=tobias e a formiga romi%
titulo grande enciclopedia do estudo do meio,tit=grande enciclopedia do estudo do meio%
titulo guia do site do conhecimento,tit=guia do site do conhecimento%
titulo as aventuras da peregrinacao,tit=as aventuras da peregrinacao%
titulo vasco da gama a grande viagem,tit=vasco da gama a grande viagem%
titulo les animaux et leurs petits,tit=les animaux et leurs petits%
titulo les saisons,tit=les saisons%
titulo planicies elevacoes e depressoes,tit=planicies elevacoes e depressoes%
titulo a costa e o continente,tit=a costa e o continente%
titulo hidrografia,tit=hidrografia%
titulo aspectos da agua,tit=aspectos da agua%
titulo a lebre vaidosa,tit=a lebre vaidosa%
titulo o pinheirito,tit=o pinheirito%
titulo a cigarra e a formiga,tit=a cigarra e a formiga%
titulo a raposa e o corvo,tit=a raposa e o corvo%
titulo aventura nos tropicos,tit=aventura nos tropicos%
titulo articulacoes e sistema muscular humano,tit=articulacoes e sistema muscular humano%
titulo esqueleto humano,tit=esqueleto humano%
titulo trabalho urbano,tit=trabalho urbano%
titulo orgaos dos sentidos,tit=orgaos dos sentidos%
titulo nocoes gerais de seguranca i,tit=nocoes gerais de seguranca i%
titulo vias e meios de transporte,tit=vias e meios de transporte%
titulo ecologia de uma floresta,tit=ecologia de uma floresta%
titulo de verde se fez a terra,tit=de verde se fez a terra%
titulo era uma vez uma caneta,tit=era uma vez uma caneta%
titulo como se faz um fantoche,tit=como se faz um fantoche%
titulo mascaras,tit=mascaras%
titulo mikrodiaschulserie a grundserie,tit=mikrodiaschulserie a grundserie%
titulo material complementar diapositivos,tit=material complementar diapositivos%
titulo o estranho caso do tiramisu,tit=o estranho caso do tiramisu%
titulo um susto de colaboradora,tit=um susto de colaboradora%
titulo um acampamento nas cataratas do niagara,tit=um acampamento nas cataratas do niagara%
titulo o terceiro periodo em santa clara,tit=o terceiro periodo em santa clara%
titulo catarina no colegio de santa clara,tit=catarina no colegio de santa clara%
titulo o terceiro ano em santa clara,tit=o terceiro ano em santa clara%
titulo as gemeas no colegio de santa clara,tit=as gemeas no colegio de santa clara%
titulo quatro ratos no faroeste,tit=quatro ratos no faroeste%
titulo o estranho caso do ladrao de noticias,tit=o estranho caso do ladrao de noticias%
titulo vem ai o cometa negro,tit=vem ai o cometa negro%
titulo o espectador intrometido,tit=o espectador intrometido%
titulo o megamax contra o megamax,tit=o megamax contra o megamax%
titulo uma noite muito escura,tit=uma noite muito escura%
titulo detective maravilhas entre culpados e inocentes,tit=detective maravilhas entre culpados e inocentes%
titulo detective maravilhas com o coracao aos saltos,tit=detective maravilhas com o coracao aos saltos%
titulo detective maravilhas descobre as diferencas,tit=detective maravilhas descobre as diferencas%
titulo detective maravilhas adopta uma estrategia,tit=detective maravilhas adopta uma estrategia%
titulo detective maravilhas da a volta por cima,tit=detective maravilhas da a volta por cima%
titulo o labirinto de sombra,tit=o labirinto de sombra%
titulo o diario de um banana,tit=o diario de um banana%
titulo o diario de um banana 5,tit=o diario de um banana 5%
titulo dicionario basico da lingua portuguesa,tit=dicionario basico da lingua portuguesa%
titulo vamos ler imagens,tit=vamos ler imagens%
titulo 31 alerta,tit=31 alerta%
titulo bernardo e os sete mares,tit=bernardo e os sete mares%
titulo cdrumo a musica,tit=cdrumo a musica%
titulo aprender a escrever,tit=aprender a escrever%
titulo campanha de seguranca alimentar,tit=campanha de seguranca alimentar%
titulo ix festividades,tit=ix festividades%
titulo cursos de educacao e formacao profissional inicial,tit=cursos de educacao e formacao profissional inicial%
titulo terminologia linguistica para os ensinos basico e,tit=terminologia linguistica para os ensinos basico e%
titulo ciencias fisicas e naturais,tit=ciencias fisicas e naturais%
titulo orientarte,tit=orientarte%
titulo historias para que vos quero,tit=historias para que vos quero%
titulo natal magico,tit=natal magico%
titulo caixinha de sonhos,tit=caixinha de sonhos%
titulo caixa de musica,tit=caixa de musica%
titulo aprender a descobrir,tit=aprender a descobrir%
titulo por mares nunca dantes navegados,tit=por mares nunca dantes navegados%
titulo autocontrolo da asma,tit=autocontrolo da asma%
titulo clic mat,tit=clic mat%
titulo lexicon,tit=lexicon%
titulo a viagem da leopoldina,tit=a viagem da leopoldina%
titulo o plano de leopoldina,tit=o plano de leopoldina%
titulo treno voador,tit=treno voador%
titulo as montanhas de gelo,tit=as montanhas de gelo%
titulo brincar na neve,tit=brincar na neve%
titulo a lenda do vale dos fantasmas,tit=a lenda do vale dos fantasmas%
titulo o vale dos fantasmas,tit=o vale dos fantasmas%
titulo ha vozes e badalos nas montanhas,tit=ha vozes e badalos nas montanhas%
titulo a festa das renas,tit=a festa das renas%
titulo o sonho de leopoldina,tit=o sonho de leopoldina%
titulo amanhecer,tit=amanhecer%
titulo estrela guia,tit=estrela guia%
titulo a porta do palacio,tit=a porta do palacio%
titulo o palacio encantado,tit=o palacio encantado%
titulo leopoldina,tit=leopoldina%
titulo este natal,tit=este natal%
titulo operacao nariz vermelho,tit=operacao nariz vermelho%
titulo doutores palhacos,tit=doutores palhacos%
titulo mundo encantado dos brinquedos,tit=mundo encantado dos brinquedos%
titulo celebrar la navidad,tit=celebrar la navidad%
titulo concierto de ano nuevo,tit=concierto de ano nuevo%
titulo portugues lingua nao materna no curriculo nacional,tit=portugues lingua nao materna no curriculo nacional%
titulo aventura no castelo,tit=aventura no castelo%
titulo no reino das palavras,tit=no reino das palavras%
titulo aventuras na floresta encantada,tit=aventuras na floresta encantada%
titulo projecto de flexibilizacao curricular,tit=projecto de flexibilizacao curricular%
titulo movimento manual de cargas e trabalho sentado,tit=movimento manual de cargas e trabalho sentado%
titulo fabrica segura e saudavel,tit=fabrica segura e saudavel%
titulo debate nacional sobre educacao,tit=debate nacional sobre educacao%
titulo as tic na educacao,tit=as tic na educacao%
titulo centros de competencia nonioseculo xxi,tit=centros de competencia nonioseculo xxi%
titulo avaliacao 19972001,tit=avaliacao 19972001%
titulo as tecnologias de informacao e comunicacao e a qualidade das aprendizagens,tit=as tecnologias de informacao e comunicacao e a qualidade das aprendizagens%
titulo estudos de caso em portugal  ocde,tit=estudos de caso em portugal  ocde%
titulo estrategias para a accao as tic na educacao,tit=estrategias para a accao as tic na educacao%
titulo programa nonioseculo xxi,tit=programa nonioseculo xxi%
titulo s. silvestre e o baixo mondego,tit=s. silvestre e o baixo mondego%
titulo arcoiris,tit=arcoiris%
titulo entre amigos,tit=entre amigos%
titulo saltitao,tit=saltitao%
titulo as leituras do joao,tit=as leituras do joao%
titulo meet anna,tit=meet anna%
titulo educar com 3 rs compostagem,tit=educar com 3 rs compostagem%
titulo nobel,tit=nobel%
titulo 100 games,tit=100 games%
titulo cancioneiro popular,tit=cancioneiro popular%
titulo no alto daquela serra,tit=no alto daquela serra%
titulo menina estas a janela,tit=menina estas a janela%
titulo oliveira pequenina,tit=oliveira pequenina%
titulo maria faia,tit=maria faia%
titulo alecrim,tit=alecrim%
titulo o ferreiro,tit=o ferreiro%
titulo nao quero que vas a monda,tit=nao quero que vas a monda%
titulo a moleirinha,tit=a moleirinha%
titulo o verde limao,tit=o verde limao%
titulo o rosa arredonda a saia,tit=o rosa arredonda a saia%
titulo os olhos da marianita,tit=os olhos da marianita%
titulo as armas do meu adufe,tit=as armas do meu adufe%
titulo amora madura,tit=amora madura%
titulo ora ponha aqui o seu pezinho,tit=ora ponha aqui o seu pezinho%
titulo traitrai,tit=traitrai%
titulo laurindinha,tit=laurindinha%
titulo bailinho da camacha,tit=bailinho da camacha%
titulo mirandum,tit=mirandum%
titulo caminho dos residuos,tit=caminho dos residuos%
titulo dez dedos dez segredos,tit=dez dedos dez segredos%
titulo aprendo cantando 2,tit=aprendo cantando 2%
titulo defende o ambiente,tit=defende o ambiente%
titulo zethoven e o ambiente,tit=zethoven e o ambiente%
titulo historias e cancoes em quatro estacoes,tit=historias e cancoes em quatro estacoes%
titulo outono,tit=outono%
titulo inverno,tit=inverno%
titulo explorando o que e o consumo,tit=explorando o que e o consumo%
titulo o gatovampiro e outros misterios,tit=o gatovampiro e outros misterios%
titulo gato sapato,tit=gato sapato%
titulo o misterio dos caes desaparecidos,tit=o misterio dos caes desaparecidos%
titulo guardei as lagrimas no bolso,tit=guardei as lagrimas no bolso%
titulo o burro pateta,tit=o burro pateta%
titulo desventuras de uma crianca prisioneira de um revol,tit=desventuras de uma crianca prisioneira de um revol%
titulo ocios do oficio,tit=ocios do oficio%
titulo orelhas de borboleta,tit=orelhas de borboleta%
titulo um presente diferente,tit=um presente diferente%
titulo esta e a historia de desatino uma menina que acred,tit=esta e a historia de desatino uma menina que acred%
titulo a sombra do cacador,tit=a sombra do cacador%
titulo a maldicao da estrela morta,tit=a maldicao da estrela morta%
titulo cao espiao,tit=cao espiao%
titulo girassois,tit=girassois%
titulo cair para cima,tit=cair para cima%
titulo o luar,tit=o luar%
titulo reflexos,tit=reflexos%
titulo quem esteve a comer,tit=quem esteve a comer%
titulo os meus queridos amigos,tit=os meus queridos amigos%
titulo atenoo atenoo,tit=atenoo atenoo%
titulo outras criancas do mundo,tit=outras criancas do mundo%
titulo vamos de viagem,tit=vamos de viagem%
titulo aventuras da narizinho,tit=aventuras da narizinho%
titulo diferencas materiais,tit=diferencas materiais%
titulo os sons da musica,tit=os sons da musica%
titulo demasiado pesado,tit=demasiado pesado%
titulo pegadas para pensar,tit=pegadas para pensar%
titulo a vida e a morte,tit=a vida e a morte%
titulo medir a chuva,tit=medir a chuva%
titulo magnetismo animal,tit=magnetismo animal%
titulo o tesouro enterrado,tit=o tesouro enterrado%
titulo tres da mesma especie,tit=tres da mesma especie%
titulo flutuar e afundar,tit=flutuar e afundar%
titulo teatro de sombras,tit=teatro de sombras%
titulo atencao aos sinais,tit=atencao aos sinais%
titulo tudo ou nada,tit=tudo ou nada%
titulo natureza,tit=natureza%
titulo cinderela,tit=cinderela%
titulo os camioes,tit=os camioes%
titulo a rosinha reporter,tit=a rosinha reporter%
titulo uma sesta para que,tit=uma sesta para que%
titulo peter pan,tit=peter pan%
titulo um estranho ovo,tit=um estranho ovo%
titulo as aventuras do pequeno cavaleiro,tit=as aventuras do pequeno cavaleiro%
titulo tarzan,tit=tarzan%
titulo os leoes,tit=os leoes%
titulo pato,tit=pato%
titulo rato,tit=rato%
titulo coelho,tit=coelho%
titulo carneiro,tit=carneiro%
titulo os carros,tit=os carros%
titulo os animais nocturnos,tit=os animais nocturnos%
titulo os animais marinhos,tit=os animais marinhos%
titulo os avioes,tit=os avioes%
titulo roupas,tit=roupas%
titulo somas,tit=somas%
titulo horas,tit=horas%
titulo casa,tit=casa%
titulo tamanhos,tit=tamanhos%
titulo raposa,tit=raposa%
titulo os elefantes sao minusculos,tit=os elefantes sao minusculos%
titulo o primeiro dia de escola,tit=o primeiro dia de escola%
titulo vamos passear o bobi,tit=vamos passear o bobi%
titulo o henrique e o henrique,tit=o henrique e o henrique%
titulo o avo 6¦ feira,tit=o avo 6¦ feira%
titulo a tia odete aprende a tricotar,tit=a tia odete aprende a tricotar%
titulo o presente de natal,tit=o presente de natal%
titulo sal e pimenta,tit=sal e pimenta%
titulo frente ao televisor,tit=frente ao televisor%
titulo o quadro que nao quer acabar,tit=o quadro que nao quer acabar%
titulo pele de burro,tit=pele de burro%
titulo no banho,tit=no banho%
titulo os animais do zoo,tit=os animais do zoo%
titulo a ursinha luca,tit=a ursinha luca%
titulo lupo divertese,tit=lupo divertese%
titulo o elefante simba,tit=o elefante simba%
titulo olha antes de saltar,tit=olha antes de saltar%
titulo era uma vez uma maravilha...,tit=era uma vez uma maravilha...%
titulo o robo armstrong,tit=o robo armstrong%
titulo o cavalinho das sete cores,tit=o cavalinho das sete cores%
titulo o ursinho puff comandante dos bombeiros,tit=o ursinho puff comandante dos bombeiros%
titulo um menino que veio de longe,tit=um menino que veio de longe%
titulo o joao muda de casa,tit=o joao muda de casa%
titulo tu seras sempre o meu pai,tit=tu seras sempre o meu pai%
titulo a ines vai para o hospital,tit=a ines vai para o hospital%
titulo os mais belos contos tradicionais,tit=os mais belos contos tradicionais%
titulo os mais belos contos de perrault,tit=os mais belos contos de perrault%
titulo a vida na quinta,tit=a vida na quinta%
titulo o vento,tit=o vento%
titulo o mar,tit=o mar%
titulo o fogo,tit=o fogo%
titulo bianca,tit=bianca%
titulo lilia,tit=lilia%
titulo pipo,tit=pipo%
titulo os porquinhos,tit=os porquinhos%
titulo o grilo verde,tit=o grilo verde%
titulo a galinha lua,tit=a galinha lua%
titulo gosto dos brinquedos,tit=gosto dos brinquedos%
titulo descobre adivinhas de alimentos,tit=descobre adivinhas de alimentos%
titulo badabum e o leao,tit=badabum e o leao%
titulo o pato que veio do frio,tit=o pato que veio do frio%
titulo a cor rosa do coelho corderosa,tit=a cor rosa do coelho corderosa%
titulo pintapinta,tit=pintapinta%
titulo o gigante tercafeira,tit=o gigante tercafeira%
titulo o joao e o leao,tit=o joao e o leao%
titulo um dia na praia,tit=um dia na praia%
titulo o livro do 5,tit=o livro do 5%
titulo o livro do 8,tit=o livro do 8%
titulo o livro do 9,tit=o livro do 9%
titulo o livro do 10,tit=o livro do 10%
titulo uns oculos para a rita,tit=uns oculos para a rita%
titulo ler e divertido,tit=ler e divertido%
titulo historia da carochinha,tit=historia da carochinha%
titulo quem quer um rinoceronte barato,tit=quem quer um rinoceronte barato%
titulo pedro perdeu o coelhinho,tit=pedro perdeu o coelhinho%
titulo o gigante e os morangos,tit=o gigante e os morangos%
titulo o cavaleiro pequenino,tit=o cavaleiro pequenino%
titulo um buraco no meu quintal,tit=um buraco no meu quintal%
titulo a historia da arvore elvira,tit=a historia da arvore elvira%
titulo as rimas do zacarias,tit=as rimas do zacarias%
titulo a gota gotinha,tit=a gota gotinha%
titulo o pavao do abreefecha,tit=o pavao do abreefecha%
titulo uma familia de chapeus,tit=uma familia de chapeus%
titulo a historia de um botao,tit=a historia de um botao%
titulo a estrela dourada,tit=a estrela dourada%
titulo o sol quentinho,tit=o sol quentinho%
titulo o senhor mago e a folha,tit=o senhor mago e a folha%
titulo vamos nadar,tit=vamos nadar%
titulo a borboleta branca,tit=a borboleta branca%
titulo historias de animais e outras que tais,tit=historias de animais e outras que tais%
titulo a casinha de sonho dos anicetos,tit=a casinha de sonho dos anicetos%
titulo historia da nuvem que nao queria chover,tit=historia da nuvem que nao queria chover%
titulo a ana vai morar na rua sesamo,tit=a ana vai morar na rua sesamo%
titulo a casa das sete cores,tit=a casa das sete cores%
titulo o coelhinho azul salva os peixes do rio,tit=o coelhinho azul salva os peixes do rio%
titulo dicionario por imagens das profissoes,tit=dicionario por imagens das profissoes%
titulo o coelhinho azul e o monstro de fogo,tit=o coelhinho azul e o monstro de fogo%
titulo dicionario por imagens do mar,tit=dicionario por imagens do mar%
titulo as aves,tit=as aves%
titulo noddy e a festa surpresa,tit=noddy e a festa surpresa%
titulo tudo sobre o computador e a internet,tit=tudo sobre o computador e a internet%
titulo o livro das cancoes,tit=o livro das cancoes%
titulo vamos ao bosque,tit=vamos ao bosque%
titulo a familia pires em estado de choque,tit=a familia pires em estado de choque%
titulo onde esta wally,tit=onde esta wally%
titulo 101 historias de animais,tit=101 historias de animais%
titulo altos e baixos,tit=altos e baixos%
titulo 101 dalmatas,tit=101 dalmatas%
titulo o raposo raposao,tit=o raposo raposao%
titulo vamos visitar o avo,tit=vamos visitar o avo%
titulo os ladroes de lenha,tit=os ladroes de lenha%
titulo pegadas de dinossaurio,tit=pegadas de dinossaurio%
titulo ruca vai ao parque de diversoes,tit=ruca vai ao parque de diversoes%
titulo pulmoes e aparelho repiratorio,tit=pulmoes e aparelho repiratorio%
titulo no planeta encarnado,tit=no planeta encarnado%
titulo o planeta do tesouro,tit=o planeta do tesouro%
titulo sonho espacial,tit=sonho espacial%
titulo cuidado com o fantasma dorminhoco,tit=cuidado com o fantasma dorminhoco%
titulo conduz um tractor,tit=conduz um tractor%
titulo o jardim da amizade,tit=o jardim da amizade%
titulo amigos de ouro,tit=amigos de ouro%
titulo e bom ser pequenino,tit=e bom ser pequenino%
titulo a trapalhice do bolo de mel,tit=a trapalhice do bolo de mel%
titulo aventuras da cauda do igor,tit=aventuras da cauda do igor%
titulo lar doce lar,tit=lar doce lar%
titulo tudo pode ser divertido,tit=tudo pode ser divertido%
titulo bons sonhos,tit=bons sonhos%
titulo faca chuva ou faca sol,tit=faca chuva ou faca sol%
titulo amigo de estimacao,tit=amigo de estimacao%
titulo camas fofas,tit=camas fofas%
titulo o dia de igor,tit=o dia de igor%
titulo as orelhas do coelho,tit=as orelhas do coelho%
titulo a caca aos insectos,tit=a caca aos insectos%
titulo o mundo da coruja,tit=o mundo da coruja%
titulo como vencer um troll,tit=como vencer um troll%
titulo os meninos e o jardim de infancia,tit=os meninos e o jardim de infancia%
titulo bambi,tit=bambi%
titulo poemas da mentira e da verdade,tit=poemas da mentira e da verdade%
titulo as mais belas fabulas de la fontaine,tit=as mais belas fabulas de la fontaine%
titulo 6 aventuras da heidi,tit=6 aventuras da heidi%
titulo a ratinha e a avela,tit=a ratinha e a avela%
titulo o bolinha visita um amigo,tit=o bolinha visita um amigo%
titulo os ovos sao quadrados,tit=os ovos sao quadrados%
titulo a minha quinta,tit=a minha quinta%
titulo o flautista de hamelin,tit=o flautista de hamelin%
titulo o sapo e o estranho,tit=o sapo e o estranho%
titulo o elefante,tit=o elefante%
titulo a roda dos animais selvagens,tit=a roda dos animais selvagens%
titulo um bocadinho de inverno,tit=um bocadinho de inverno%
titulo o alfaiate valente,tit=o alfaiate valente%
titulo amigos,tit=amigos%
titulo heidi viaja,tit=heidi viaja%
titulo heidi na herdade,tit=heidi na herdade%
titulo heidi festeja o natal,tit=heidi festeja o natal%
titulo heidi e a montanha selvagem,tit=heidi e a montanha selvagem%
titulo no hospital,tit=no hospital%
titulo o concerto,tit=o concerto%
titulo amigos novos,tit=amigos novos%
titulo os mais belos contos,tit=os mais belos contos%
titulo trog e a invencao do aviao,tit=trog e a invencao do aviao%
titulo historias e lendas do mar,tit=historias e lendas do mar%
titulo historias de arte e manhas,tit=historias de arte e manhas%
titulo o bolinha vai a praia,tit=o bolinha vai a praia%
titulo o sapo e o canto do melro,tit=o sapo e o canto do melro%
titulo e se eu fosse... uma fada,tit=e se eu fosse... uma fada%
titulo joao e o pe de feijao,tit=joao e o pe de feijao%
titulo eu sou mais alta que voce,tit=eu sou mais alta que voce%
titulo a viagem de pluma,tit=a viagem de pluma%
titulo pluma vai de barco,tit=pluma vai de barco%
titulo a princesa baixinha,tit=a princesa baixinha%
titulo arca de noe,tit=arca de noe%
titulo dicionario ilustrado,tit=dicionario ilustrado%
titulo o livro azul,tit=o livro azul%
titulo pelucho na praia,tit=pelucho na praia%
titulo o urso com musica na barriga e outras historias,tit=o urso com musica na barriga e outras historias%
titulo o sr. faisca e o relogio da camara,tit=o sr. faisca e o relogio da camara%
titulo a rede nacional de escolas promotoras de saude,tit=a rede nacional de escolas promotoras de saude%
titulo os contrarios,tit=os contrarios%
titulo o panda,tit=o panda%
titulo o meu caozinho,tit=o meu caozinho%
titulo das palavras,tit=das palavras%
titulo tareco e os seus primos,tit=tareco e os seus primos%
titulo cantar juntos 2,tit=cantar juntos 2%
titulo na rota das pegadas de dinossaurios,tit=na rota das pegadas de dinossaurios%
titulo monumento natural das pegadas de dinossaurios da serra de aire,tit=monumento natural das pegadas de dinossaurios da serra de aire%
titulo no reino da pedra,tit=no reino da pedra%
titulo cartilha da alimentacao,tit=cartilha da alimentacao%
titulo franklin anda de canoa,tit=franklin anda de canoa%
titulo a casa que fez o joao,tit=a casa que fez o joao%
titulo o cachorrinho,tit=o cachorrinho%
titulo tico e zico,tit=tico e zico%
titulo historia dos tres reinos da natureza,tit=historia dos tres reinos da natureza%
titulo um dia no zoo,tit=um dia no zoo%
titulo a menina dos caracois de ouro e os tres ursos,tit=a menina dos caracois de ouro e os tres ursos%
titulo que faz o urso do pijama,tit=que faz o urso do pijama%
titulo o cao oscar,tit=o cao oscar%
titulo miau no parque,tit=miau no parque%
titulo caracolinha e os tres ursinhos,tit=caracolinha e os tres ursinhos%
titulo o casamento da gata,tit=o casamento da gata%
titulo a coleccao,tit=a coleccao%
titulo baralhando historias,tit=baralhando historias%
titulo seis historias as avessas,tit=seis historias as avessas%
titulo em casa,tit=em casa%
titulo andorinha turrinha,tit=andorinha turrinha%
titulo os tres cachorrinhos,tit=os tres cachorrinhos%
titulo anita e os amigos vao a escola,tit=anita e os amigos vao a escola%
titulo polegarzinho,tit=polegarzinho%
titulo o leao,tit=o leao%
titulo proverbios repenteados,tit=proverbios repenteados%
titulo um bosque de palavras,tit=um bosque de palavras%
titulo as flores da primavera,tit=as flores da primavera%
titulo a lesma constipada,tit=a lesma constipada%
titulo o menino e o banco,tit=o menino e o banco%
titulo conheco a voz dos animais,tit=conheco a voz dos animais%
titulo a gaitadefoles magica,tit=a gaitadefoles magica%
titulo a gaita de foles magica,tit=a gaita de foles magica%
titulo vamos encontrar os erros,tit=vamos encontrar os erros%
titulo a grande aventura de winnie the pooh,tit=a grande aventura de winnie the pooh%
titulo curiosidades da natureza,tit=curiosidades da natureza%
titulo nao quero ir dormir,tit=nao quero ir dormir%
titulo o lobo e os sete cabritinhos,tit=o lobo e os sete cabritinhos%
titulo eco arte klorane,tit=eco arte klorane%
titulo uma estranha caravana,tit=uma estranha caravana%
titulo contos de sempre,tit=contos de sempre%
titulo ali baba,tit=ali baba%
titulo o rei midas,tit=o rei midas%
titulo o misterio dos elfos,tit=o misterio dos elfos%
titulo o regresso ao castelo do lorde avarento,tit=o regresso ao castelo do lorde avarento%
titulo os navios e os barcos,tit=os navios e os barcos%
titulo o falso stilton,tit=o falso stilton%
titulo o misterio do olho de esmeralda,tit=o misterio do olho de esmeralda%
titulo o galeao dos gatos piratas,tit=o galeao dos gatos piratas%
titulo o sorriso de mona ratisa,tit=o sorriso de mona ratisa%
titulo uma aventura no mundo subterraneo,tit=uma aventura no mundo subterraneo%
titulo o templo do rubi de fogo,tit=o templo do rubi de fogo%
titulo a maratona mais louca do mundo,tit=a maratona mais louca do mundo%
titulo panico nos himalaias,tit=panico nos himalaias%
titulo o fantasma do metro,tit=o fantasma do metro%
titulo expedicao a ilha borboleta,tit=expedicao a ilha borboleta%
titulo ruca faz um doidoi,tit=ruca faz um doidoi%
titulo a nossa alimentacao,tit=a nossa alimentacao%
titulo da cabeca aos pes,tit=da cabeca aos pes%
titulo com os cinco sentidos,tit=com os cinco sentidos%
titulo tenho duas maos,tit=tenho duas maos%
titulo benjamim e um heroi,tit=benjamim e um heroi%
titulo boldi quer ajudar,tit=boldi quer ajudar%
titulo os melhores contos dos irmaos grimm,tit=os melhores contos dos irmaos grimm%
titulo onde esta a minha mae,tit=onde esta a minha mae%
titulo romeu e as rosas de gelo,tit=romeu e as rosas de gelo%
titulo anita e a prenda de anos,tit=anita e a prenda de anos%
titulo medidas apropriadas,tit=medidas apropriadas%
titulo problemas com a neve,tit=problemas com a neve%
titulo as crias,tit=as crias%
titulo os dinossauros,tit=os dinossauros%
titulo os comboios,tit=os comboios%
titulo para onde foi o avo,tit=para onde foi o avo%
titulo a avo genoveva,tit=a avo genoveva%
titulo os tres patos do condor,tit=os tres patos do condor%
titulo os animais de estimacao,tit=os animais de estimacao%
titulo cinco na caminha,tit=cinco na caminha%
titulo a minha volta,tit=a minha volta%
titulo boris e o seu amigo,tit=boris e o seu amigo%
titulo um dia normal,tit=um dia normal%
titulo crescer saudavel,tit=crescer saudavel%
titulo onde estas,tit=onde estas%
titulo tudo ao contrario,tit=tudo ao contrario%
titulo tudo e de cor,tit=tudo e de cor%
titulo como passa o tempo,tit=como passa o tempo%
titulo os meus amigos especiais,tit=os meus amigos especiais%
titulo as quatro estacoes,tit=as quatro estacoes%
titulo gil vicente,tit=gil vicente%
